Name,Rating,Platform,Release price (USA)
Final Fantasy XIV + Endwalker,93,"PC, PS5, PS4",$39.99 
Forza Horizon 5,92,"PC, XboxOne, Xbox X/S",$59.99 
Super Mario 3D World + Bowser's Fury,89,Switch,$59.99 
Bustafellows,89,"PC, Switch",$39.99 
Ratchet & Clank: + Rift Apart,89,PS5,$34.90 
Swarm,89,Oculus,$24.99 
It Takes Two*,89,"PC, XboxOne, Xbox X/S, PS4, PS5",$29.99 
Psychonauts 2,89,"PC, XboxOne, Xbox X/S, PS4",$59.99 
Overboard!,88,"PC, Switch",$14.99 
